"Nome Fantasia ","Responsável pelas compras","Telefone ","Rua","Bairro","Cidade","Atividade",""
"Bar do César ","César ","28999389255","Rua Paulinho Martins dos Santos,  33, Paraíso ","Paraiso","Cachoeiro de Itapemirim","Restaurante",""
"Bar BOM GOSTO ","Valbinho","28999468014","Rua Joao Sasso,  20, Paraíso ","Paraiso","Cachoeiro de Itapemirim","Restaurante",""
"Devagar Skinas Bar ","Devacir ","28998845782","Rua Maracajá, 11, Independência ","Independência","Cachoeiro de Itapemirim","Restaurante",""
"Posto sena. Loja de convivência","Marcela","28999107988","Av Francisco Lacerda de Aguiar. 350 Gilberto Machado","Gilberto Machado","Cachoeiro de Itapemirim"," Conveniência",""
"Posto  club.  Convivência","Luciana","28999270066","Av Francisco Lacerda de Aguiar número 360","Gilberto Machado","Cachoeiro de Itapemirim"," Conveniência",""
"CONVENIÊNCIAS RIO GRANDE","Humberto","28999245038","Av Francisco Lacerda de Aguiar  Gilberto Machado 62","Gilberto Machado","Cachoeiro de Itapemirim"," Conveniência",""
"Padaria bela massa","Adriana","28999872743","Av cristiano dias Lopes número 25 Gilberto Machado","Gilberto Machado","Cachoeiro de Itapemirim","Padaria",""
"Lanchonete rodoviária ","Luiz","28999261919","Rodoviária","Rodoviária","Cachoeiro de Itapemirim","Restaurante",""
"Bar do cabelinho","Elias cabelinho","28999171422","Av cristiano Lopes número 07 Gilberto Machado","Gilberto Machado","Cachoeiro de Itapemirim","Restaurante",""
"Filé e companhia","Washington","28999130528","Av cristiano dias Lopes número 07 Gilberto Machado","Gilberto Machado","Cachoeiro de Itapemirim","Restaurante",""
"Rrstaurante Delicias Brasileiras ","Marcio ","28999722429","Rua 25 de Marco , 102, Centro ","Centro","Cachoeiro de Itapemirim","Restaurante",""
"Skina Cafe ","Leonardo","28999930394","Rua 25 de Marco , 74 , Centro ","Centro","Cachoeiro de Itapemirim","Restaurante",""
"Padaria do China","Conceição ","28999678797","Rua professor Gilceu Machado,  48, Amaral ","Amaral","Cachoeiro de Itapemirim","Padaria",""
"Bar Mercearia Bolsonaro ","Gilson Debaque","28999684027","Rua Gilceu Machado , 60, Amaral ","Amaral","Cachoeiro de Itapemirim","Restaurante",""
"Padaria Sonho Meu ","Kris","28999627524","Rua professor Gilceu Machado, 246, Amaral ","Amaral","Cachoeiro de Itapemirim","Padaria",""
"Rei do Espaguete","Tem de ligar, estava Fechado","28999219922","Rua Professor Giceu Machado,  248, Amaral ","Amaral","Cachoeiro de Itapemirim","Restaurante",""
"Padaria Canal ","Arlindo Canal ","28999852881","Rua Doutor Deolindo, 158, Baiminas ","Baiminas","Cachoeiro de Itapemirim","Padaria",""
"Bar do Cascao ","Estava fechado, precisa Ligar ","28999383268","Rua Dr Deolindo, 173, Baiminas","Baiminas","Cachoeiro de Itapemirim","Restaurante",""
"Sao Marcos Supermercado ","Marcos","28999354691","Rua Doutor Deilindo, 184, Baiminas","Baiminas","Cachoeiro de Itapemirim","Supermercado",""
"Padaria Fonsecas","Tania ","28999751007","Rua Doutor Deolindo , 185, Baiminas ","Baiminas","Cachoeiro de Itapemirim","Padaria",""
"Tiana Bar","Tiana","28999573045","Rua Amancio Silva, 254, Baiminas","Baiminas","Cachoeiro de Itapemirim","Restaurante",""
"Padaria Maná e Mel ","Lucimara zampiere da Silva ","28998813035","Rua Amancio Silva, 13 , Arariguaba","Arariguaba","Cachoeiro de Itapemirim","Padaria",""
"Comercial Freitas ","Genivaldi Freitas","28988046142","Rua Amancio Silva, 1 A 3, Arariguaba","Arariguaba","Cachoeiro de Itapemirim","Supermercado",""
"Bar do Rock ","Rock ","28999677462","Rua Amancio silva , 02 , Arariguaba","Arariguaba","Cachoeiro de Itapemirim","Restaurante",""
"Padaria Boa Massa ","Priscila","28999566073","Rua Odario da Fonseca,  73, Arariguaba ","Arariguaba","Cachoeiro de Itapemirim","Padaria",""
"Rei da Birita","Nilson Menegussi Junior ","28999785157","Av. Targino Athayde , 122 Coronel Borges ","Coronel Borges","Cachoeiro de Itapemirim","Distribuidora",""
"Pedronis Bar ","Fernando ","28999992988","Rua Doutor Amilcar Figliuzi , 296, Coronel Borges ","Coronel Borges","Cachoeiro de Itapemirim","Restaurante",""
"Restaurante Kioto","Ana / Dalva ","28999387168","Rua sisypho Sandenbergue, 47, Sao Luiz Gonzaga","São Luiz Gonzaga","Cachoeiro de Itapemirim","Restaurante",""
"Mercearia Primos","Jose Romildo ","28999014992","Rua Monteiro Lobato , 58, Sao Luiz Gonzaga ","São Luiz Gonzaga","Cachoeiro de Itapemirim","Mercearia",""
"Padaria Elshaday","Pablo ","28999590179","Rua Coelho Neto, 79 , Luiz Gonzaga","São Luiz Gonzaga","Cachoeiro de Itapemirim","Padaria",""
"Supermercado Cereais Ferreira","Washington ","28999322498","Rua Luiz Gonzaga de Oliveira,  2 , sao luiz Gonzaga ","São Luiz Gonzaga","Cachoeiro de Itapemirim","Supermercado",""
"Padaria Nosso Sabor ","Danilli","28999246040","Rua Marechal ,rondom ,75 Luiz Gonzaga ","São Luiz Gonzaga","Cachoeiro de Itapemirim","Padaria",""
"Bar Jovem Guarda ","Alex ","28999528188","Rua Goncalves Dias , 6 , Sao Luiz Gonzaga ","São Luiz Gonzaga","Cachoeiro de Itapemirim","Restaurante",""
"Lanchonete do Maike","Maike","28999249239","Rua Doutor Amilcar Figliuzzi, 171, Sao Luiz Gonzaga ","São Luiz Gonzaga","Cachoeiro de Itapemirim","Restaurante",""
"Conveniência Petróleo Derivados de Petróleo ","Karina","24981000945","Rua Doutor Amílcar Firiuzzi,162, Coronel Borges","Coronel Borges","Cachoeiro de Itapemirim"," Conveniência",""
"Japa sar","Vanessa  Reis cantarella","2830252867","Av. Dr Aristides Aristides campos ","Basiléia","Cachoeiro de Itapemirim","Restaurante",""
"Bar do Gordo ","Udair dos Santos","28999283020","Rua Doutor Amílcar Firiuzzi,  43, Coronel Borges","Coronel Borges","Cachoeiro de Itapemirim","Restaurante",""
"Bar da Aureni","Aureni","2899085120","Rua Olivo Bilac, 23, Sao Luiz Gonzaga ","São Luiz Gonzaga","Cachoeiro de Itapemirim","Restaurante",""
"Supermercado de Cereais Super Gomes ","António ","28998850551","Rua olavo Bilac, 46, Sao luiz Gonzaga ","São Luiz Gonzaga","Cachoeiro de Itapemirim","Supermercado",""
"Jaum Jaum Hamburgueria ","Joao Pereira ","28999073319","Rua Monteiro Lobato, 68, Sao Luiz Gonzaga","São Luiz Gonzaga","Cachoeiro de Itapemirim","Restaurante",""
"Padaria salpic ","Solange","2829303374","Av Dr Aristides Campos número . Gilberto Machado","Gilberto Machado","Cachoeiro de Itapemirim","Padaria",""
"Restaurante rinkao","Marcel ( compra Hortifruti )","28981125011","BR 101","BR 101","Cachoeiro de Itapemirim","Restaurante",""
"Restaurante rinkao","Gessica  ( compra frios )","28999880444","Br 101","BR 101","Cachoeiro de Itapemirim","Restaurante",""
"Restaurante rinkao","Gabriela. Compra mercearia","28999095775","BR 101","BR 101","Cachoeiro de Itapemirim","Restaurante",""
"Restaurante Helio  Bocão","Josiane","28999850665","Bairro amarelo","Amarelo","Cachoeiro de Itapemirim","Restaurante",""
"Restaurante kilo bar","Carlos","28999520098","Bairro amarelo","Amarelo","Cachoeiro de Itapemirim","Restaurante",""
"Confeitaria casa daq torta","Messias","28999419489","Bairro amarelo","Amarelo","Cachoeiro de Itapemirim","Padaria",""
"Marmitex","José","28999512145","Bairro amarelo","Amarelo","Cachoeiro de Itapemirim","Restaurante",""
"Sabor da Laurinha","Paulo","28992765956","Bairro amarelo","Amarelo","Cachoeiro de Itapemirim","Restaurante",""
"Supermercado amarelo","Luciano ","28999554398","Rua  Jerônimo ribeiro ","Jeronimo Ribeiro","Cachoeiro de Itapemirim","Supermercado",""
"Supermercado ","José / Francisco","2835170501","Rua Jerônimo ribeiro 488  centro","Centro","Cachoeiro de Itapemirim","Supermercado",""
"Supermercado Cachoeiro","Felipe /Maria..","28999859978","Bairro paraíso","Paraiso","Cachoeiro de Itapemirim","Supermercado",""
"Império dos salgados","Rome.  ","28999491631","Bairro paraíso","Paraiso","Cachoeiro de Itapemirim","Padaria",""
"Mercearia / mercado","Domingos","28999877248","Bairro paraíso","Paraiso","Cachoeiro de Itapemirim","Supermercado",""
"Supermercado paraíso","Matheus","28999866572","Bairro paraíso","Paraiso","Cachoeiro de Itapemirim","Supermercado",""
"Padaria sabarela","Sueli gerente","28999234128","Bairro paraíso","Paraiso","Cachoeiro de Itapemirim","Padaria",""
"Bar do Niltinho","Niltinho","28999849383","Bairro paraíso","Paraiso","Cachoeiro de Itapemirim","Restaurante",""
"Delivery alô pizza","Wagner","28999714834","Bairro paraíso","Paraiso","Cachoeiro de Itapemirim","Restaurante",""
"Verduraria / mercearia/  Carlinhos","Sr Carlos/ joao","28999151189","Rua pedra América número 18 paraíso","Paraiso","Cachoeiro de Itapemirim","Mercearia",""
"Paraíso das carnes ","João Guilherme","28999127729","Rua Pedro número 7","Guandú","Cachoeiro de Itapemirim","Mercearia",""
"Armazém dezan ","Rodrigo dezan","28999855810","Bairro do paraíso","Paraiso","Cachoeiro de Itapemirim","Mercearia",""
"Padaria e confeitaria pão nosso","Cláudio","2835225050","Rua Jerônimo ribeiro número 482","Centro","Cachoeiro de Itapemirim","Padaria",""
"Silvana congelados","Silvana","28999713094","Rua Rodrigues Alves número 29 paraíso","Paraiso","Cachoeiro de Itapemirim","Restaurante",""
"Residência","Adenil rios de brito","28999535492","Atílio Vivácqua  zona rural","Zona Rural","Cachoeiro de Itapemirim","Pessoa física",""
"Pessoa física / residência","Alex Resende lima","28981151957","Praça José Antônio  Santana num 21","Basiléia","Cachoeiro de Itapemirim","Consumidor final",""
"Casa e vídeo","Paulo Carvalho","28981190066","Rua capitão Deslandes número 100","Centro","Cachoeiro de Itapemirim","Loja",""
"Varejão dos tecidos","Sintia","2899903480","Capitão Deslandes número 92 centro Eliana","Centro","Cachoeiro de Itapemirim","Loja",""
"Pessoa física","Rafaela bravim melo","27999711999","Rua capitão Deslandes número 82 centro","Centro","Cachoeiro de Itapemirim","Pessoa física",""
"Drogaria vitória","Roberta","28998869103","Rua capitão Deslandes número 82 centro","Centro","Cachoeiro de Itapemirim","Farmácia",""
"Lojas pague menos","Wesley Peixoto policar","33999184039","Rua capitão Deslandes número 50","Centro","Cachoeiro de Itapemirim","Outros",""
"Pastel mania","Kelly","28999119966","Capitão Deslandes número 13","Centro","Cachoeiro de Itapemirim","Restaurante",""
"Loja citycol","Regina Célia da cruz","28999391528","Capitão Deslandes número 19 centro","Centro","Cachoeiro de Itapemirim","Loja",""
"Pessoa física","José Soares dos Santos","28992528250","Capitão Deslandes número 47 centro/rua Angelo nós número 110 baiminas","Baiminas","Cachoeiro de Itapemirim","Loja",""
"Residência e loja  .maxcol","Marcilene altoer marques","28999043304","Rua capitão Deslandes número 47 centro rua Sergipe número 53  sst Antônio","Santo Antonio","Cachoeiro de Itapemirim","Pessoa física",""
"Casa luma","Rafael","28999570934","Capitão Deslandes número 77 centro","Centro","Cachoeiro de Itapemirim","Loja",""
"Atlético Clube Ita ","Murilo Bernbe","2835218274","Angelo Boss","Baiminas","Cachoeiro de Itapemirim","Restaurante",""
"Bar do Orildo ","Orildo ","28999484694","Rua Angelo Boss , 157 Baiminas ","Baiminas","Cachoeiro de Itapemirim","Restaurante",""
"Bar da Dilma","Gilson Rosa ","28988092808","Rua Gonzaga de Oliveira,  n 1 , Sao Luiz Gonzaga ","São Luiz Gonzaga","Cachoeiro de Itapemirim","Restaurante",""
"Sorveteria mais sabor","Paulo cesar","28999862895","Rua 25 de março número 40 centro","Centro","Cachoeiro de Itapemirim","Sorveteria",""
"Bar Cariocas ","Clezio ","28999230944","Rua coelho Neto , n 2, Sao Luiz Gonzaga ","São Luiz Gonzaga","Cachoeiro de Itapemirim","Restaurante",""
"Mercearia Reis","Jose Carlos ","28999843003","Rua Coelho Neto , 1 , Sao Luiz Gonzaga ","São Luiz Gonzaga","Cachoeiro de Itapemirim","Mercearia",""
"Sabor no ponto","Vanderson","28999390140","Praça Jerônimo monteiro 57 centro","Centro","Cachoeiro de Itapemirim","Restaurante",""
"Mercearia Dois Irmãos ","Rivelino Gomes","28998847276","Rua machado de Assis , 141, Luiz Gonzaga ","São Luiz Gonzaga","Cachoeiro de Itapemirim","Mercearia",""
"Casa do biscoito ","Wellington","28999412597","Praça Jerônimo monteiro número 89 centro","Centro","Cachoeiro de Itapemirim","Loja",""
"Cida Restaurante ","Maria Aparecida ","28999791364","Rua Dr Amilcar Figliuzzi , 44 Coronel Borges ","Coronel Borges","Cachoeiro de Itapemirim","Restaurante",""
"João e Maria doce e café ","Larissa mis","28999769838","Pra Jerônimo monteiro número 37 centro","Centro","Cachoeiro de Itapemirim","Cafeteria",""
"Padaria Super Pao ","Larissa Reis","28999592780","Rua Doutor Amilcar Figliuzzi,  14 , Coronel Borges","Coronel Borges","Cachoeiro de Itapemirim","Padaria",""
"Supermercado FACHIN","Luis Fachin","28999174468","Rua Dr Amilcar Figliuzzi,  32, Coronel Borges ","Coronel Borges","Cachoeiro de Itapemirim","Supermercado",""
"Supermercado Santa Rita ","Gustavo ","28999182339","Rua Amílcar Firiuzzi,  7, Coronel Borges ","Coronel Borges","Cachoeiro de Itapemirim","Supermercado",""
"Mundo das opções","Jackson","83,998,928,298","Rua  Siqueira Lima  número 49 centro","Centro","cachoeiro de itapemirim ","Outros",""
"Doce terapia ","SELMA","28998825259","Rua Coronel Borges , 219, Coronel Borges","Coronel Borges","cachoeiro de itapemirim ","Confeitaria",""
"Lanchonete primos","Silviano","28992767804","Siqueira Lima número 41","Centro","cachoeiro de itapemirim ","Restaurante",""
"Delicias MM Zampilis","Marcia ","28999991853","Rua Coronel Borges , 208, Coronel Borges","Coronel Borges","cachoeiro de itapemirim ","Restaurante",""
"Elmo. Elmo","Laerth ","28999470445","Siqueira Lima número 23 centro","Centro","cachoeiro de itapemirim ","Loja",""
"Pessoa física","Carine","28999041599","Condomínio residencial  Otílio roncete  Gilson carone","Gilson Carone","cachoeiro de itapemirim ","Pessoa física",""
"Mercado Alternativo ","Juliana Gardioli Pedroni","28999667637","Rua Coronel Borges,  201, Coronel  Borges ","Coronel Borges","Cachoeiro de Itapemirim","Mercearia",""
"Pessoa gisica","Maria carina lima silva","28998830217","Hugo coco 52 Santa Helena ","Santa Helena","Cachoeiro de Itapemirim","Pessoa física",""
"Restaurante","Kiko","28999551659","Siqueira Lima número 09 centro","Centro","Cachoeiro de Itapemirim","Restaurante",""
"Restaurante Kiko ","Fabio","28,999,559,039","Beira rio  ","Beira Rio","Cachoeiro de Itapemirim","Restaurante",""
"Restaurante kiko","Kiko","28999551659","Av Jonas dos santos neves ( anexo ao PERIM)","Santo Antonio","Cachoeiro de Itapemirim","Restaurante",""
"Lanchonete kiko","Kiko","28999551659","Rua sete de setembro  número 17","Centro","Cachoeiro de Itapemirim","Restaurante",""
"Padaria Zanpao","Filipe ","28999727300","Avenida Doutor Ubaldo Caetano Goncalves,  306, Independência ","Independência","Cachoeiro de Itapemirim","Padaria",""
"Atelier das Massas ","Janice Moreira ","28999439601","Rua coronel Borges , 176, coronel Borges ","Coronel Borges","Cachoeiro de Itapemirim","Restaurante",""
"Soli Deo ","Celia ","28999105151","Rua coronel Borges,  129 , Coronel Borges ","Coronel Borges","Cachoeiro de Itapemirim","Sorveteria",""
"Pikachu Petiscaria e Hamburgaria ","Estava fechado, tem de ligar ","28998827645","Rua Coronel Borges , 119, Coronel Borges ","Coronel Borges","Cachoeiro de Itapemirim","Restaurante",""
"Bar Durão Filho ","Wagner ","28998847559","Rua Coronel Borges , 43, Coronel Borges","Coronel Borges","Cachoeiro de Itapemirim","Restaurante",""
"Armazens Sao Pedro ","Gabriela ","28999477575","Rua Dom Fernando,  49, loja 1 e 2 , Independência ","Independência","Cachoeiro de Itapemirim","Cafeteria",""
"Cozinha da Gaia ","Larissa ","28999311020","Avenida Monte Castelo, 148,  Independência ","Independência","Cachoeiro de Itapemirim","Cafeteria",""
"Lanchonete do Luiz","Luiz Tomazini","28999564890","Avenida DOUTOR UBALDO CAETANO,  289, INDEPENDÊNCIA ","Independência","Cachoeiro de Itapemirim","Restaurante",""
"Padaria Saboreto","Washington Serpa ","28999381631","Avenida Doutor Ubaldo Caetano Gonçalves,  281, Independência ","Independência","Cachoeiro de Itapemirim","Padaria",""
"Mercearia da Lora ","Evanilda ","28999459187","Avenida Doutor Ubaldo Caetano Goncalves,  269, independência ","Independência","Cachoeiro de Itapemirim","Mercearia",""
"Posto center ","Ivan e Lucinha","28999397412","Av  Jones santos neves 280 a 316 ","Santo Antonio","Cachoeiro de Itapemirim"," Conveniência",""
"Churrasgato","Aline Gualandi","28999578197","Rua Anacleto Ramos, 214, nossa senhora da Penha ","Nossa Senhora da Penha","Cachoeiro de Itapemirim","Restaurante",""
"Gellatti Sorvettes","Marinette ","2898850332","Rua Anacleto Ramos, 125, Ferroviarios ","Ferroviarios","Cachoeiro de Itapemirim","Sorveteria",""
"Coffeepel embalagem","Rodrigo","28999914897","Jones santos neves 280","Santo Antonio","Cachoeiro de Itapemirim","Distribuidora",""
"Padaria Princesa Isabel ","Robson","28999155696","Rua Princesa Isabel , 2 , Nossa senhora da Penha ","Nossa Senhora da Penha","Cachoeiro de Itapemirim","Padaria",""
"Supermercado Matos ","Carlos ","28999758601","Rua Princesa Isabel , 1, Nossa Senhora da Penha ","Nossa Senhora da Penha","Cachoeiro de Itapemirim","Supermercado",""
"Churrasqueira muniz","Regilane","28999452448","Av Dr Aristides Campos número 07 ","Paraiso","Cachoeiro de Itapemirim","Restaurante",""
"Padaria Cia do Pao ","Sandra ","2835218117","Rua Pedro Macedo ,72, Santa Cecilia ","Santa Cecília","Cachoeiro de Itapemirim","Padaria",""
"Pingos geli","Cássio","28999591403","Av Dr Aristides Campos número 311","Paraiso","Cachoeiro de Itapemirim","Distribuidora",""
"Padaria Dois Amigos ","Fatima Silva","28999951777","Rua leto Antônio Duarte, 2, Santa Cecilia ","Santa Cecília","Cachoeiro de Itapemirim","Padaria",""
"Útil distribuidora","Caoani","28999634384","Dr Aristides Campos número 403","Paraiso","Cachoeiro de Itapemirim","Distribuidora",""
"Los Biffs ","Rodrigo ","28999391653","Rua Pedro Macedo , 4 , Ferroviários ","Ferroviarios","Cachoeiro de Itapemirim","Restaurante",""
"Sabor caseiro","Emerson Rodrigues de Souza","28992545598","Dr Aristides Campos número 180 av","Paraiso","Cachoeiro de Itapemirim","Restaurante",""
"Bar bola cheia","Sr Elson","28988174864","Dr Aristides Campos número 139","Paraiso","Cachoeiro de Itapemirim","Restaurante",""
"Lanchonete do China","Deysilan Lucas da conceição","28999144797","Av Dr Aristides Campos número 67","Paraiso","Cachoeiro de Itapemirim","Padaria",""
"Tempero da Mama","Vilma ","28999084832","Avenida Arestides campos , 75, santo António ","Santo Antonio","Cachoeiro de Itapemirim","Restaurante",""
"Padaria Cafe com Leite ","Elizeth","28999864502","Avenida Jones dos santos neves, 497, Oton Marins","Oton Marins","Cachoeiro de Itapemirim","Padaria",""
"CONVENIÊNCIAS muito mais serviço Eireli","Juliete","28999528955","Av Jones dos Santos Neves anexo o posto Souza","Oton Marins","Cachoeiro de Itapemirim"," Conveniência",""
"Lanchonete da Iaiá","Iara","28999998793","Avenida Jones dos Santos Neves,  497, Oton Marins","Oton Marins","Cachoeiro de Itapemirim","Restaurante",""
"Edinhos Expresso Beer ","Edinho ","28999743098","Rua Rubens Rangel , 9 , Oton Marins ","Oton Marins","Cachoeiro de Itapemirim","Distribuidora",""
"Master Gourmet lanches e Porções ","Fechado, tem de ligar ","28999914414","Avenida Jones dos Santos Neves,  543, Oton Marins ","Oton Marins","Cachoeiro de Itapemirim","Restaurante",""
"Conveniencia Rio Grande ","Simoni e Ana Paula ","28999293667","Avenida Jones dos Santos Neves,  237, Santo Antônio ","Santo Antonio","Cachoeiro de Itapemirim"," Conveniência",""
"Divino sabor","Júnior Gomes","28999682541"," Av Jones dos Santos Neves número 269 ","Santo Antonio","Cachoeiro de Itapemirim","Restaurante",""
"Doce de Sabao ","Joao Vitor ","28998830792","Rua Jacob de Almeida Miranda, 17 , Maria Ortis","Maria Ortis","Cachoeiro de Itapemirim","Artesanato ",""
"Crispel embalagem","Lucimar","2,825,112,066","Jonas dos Santos Neves número 176","Oton Marins","Cachoeiro de Itapemirim","Embalagem",""
"Irmaos Coragem ","Marcelo ","28999538791","Avenida Jones dos Santos Neves,  191, Santo Antônio ","Santo Antonio","Cachoeiro de Itapemirim","Restaurante",""
"Casa da Torta","Manuel Messias ","28999291362","Avenida Jones dos Santos Neves,  181, Santo Antônio ","Santo Antonio","Cachoeiro de Itapemirim","Restaurante",""
"Rivers frill churrascaria","Mario","28998849173","Av Beira Rio 221","Beira Rio","Cachoeiro de Itapemirim","Restaurante",""
"Império do frango","Liane","28999195060","Rua isais Martins número 52 bairro campo Leopoldina","Leopoldina","Cachoeiro de Itapemirim","Restaurante",""
"Posto de combustível Oasis","João Luiz travagel","2835210372","Praça senador  Luiz Tinoco número 05 centro","Centro","Cachoeiro de Itapemirim"," Conveniência",""
"Bar ping pong","Luiz Carlos","28999411866","Pra  Dr Luiz Tinoco número 34 centro","Centro","Cachoeiro de Itapemirim","Restaurante",""
"Lanchonete fortuna ","Yago maia amorim","28999645435","Praça senador Luiz Tinoco número 34 centro","Centro","Cachoeiro de Itapemirim","Restaurante",""
"Mania de festa","Wanderson","28999363636","Praça senador Luiz Tinoco número 24 centro","Centro","Cachoeiro de Itapemirim","Loja",""
"Padaria real","Ademar escaneiam","28999177417","Pra  senador Luiz Tinoco número 10 centro","Centro","Cachoeiro de Itapemirim","Padaria",""
"Padaria real","Vinícius","28999058919","Praça senador Luiz Tinoco número 41-10","Centro","Cachoeiro de Itapemirim","Padaria",""
"Irmãos andreon","Marcos","28999433470","Rua coronel Francisco Braga número 87 centro","Centro","Cachoeiro de Itapemirim","Restaurante",""
"Enricos restaurante ","Sergio","28999021192","Praça Pedro coelvas júnior 20 loja. A","Centro","Cachoeiro de Itapemirim","Restaurante",""
"MPB LANCHES","Marilda","2835117318","Av Beira Rio número 43","Beira Rio","Cachoeiro de Itapemirim","Restaurante",""
"Padaria Confeitaria Paraiso ","Enilda ","28999556242","Rua Euclides da Cunha, 106, Paraiso ","Paraiso","Cachoeiro de Itapemirim","Padaria",""
"Bar Universidade","Luciene Castro ","28999380857","Rua Jerônimo Ribeiro,  247, Amarelo","Amarelo","Cachoeiro de Itapemirim","Restaurante",""
"Padaria Capixaba ","Lucas  ","28999436428","Rua Jerônimo Ribeiro,  341, Amarelo","Amarelo","Cachoeiro de Itapemirim","Padaria",""
"Bar Balarine ","Jose ","2835115458","Rua costa Pereira, 147, Centro","Centro","Cachoeiro de Itapemirim","Restaurante",""
"Dienes Bar Lanchonete e Restaurante ","Juinior ","28999812428","Rua Fernando Melo Courtinho, 4 , Independência ","Independência","Cachoeiro de Itapemirim","Restaurante",""
"Padaria Cantinho do Pao ","Natália ","28998834893","Rua Dona Bibiana N 20 , Santa Helena ","Santa Helena","Cachoeiro de Itapemirim","Padaria",""
"Padaria Pacheco ","Natália ","28998834893","Rua Hora Amarantes Mattos , 90 , Marbrasa ","Marbrasa","Cachoeiro de Itapemirim","Padaria",""
"Supermercado Peterle","Renato","28999460543","Rua Dona Bibiana , 21 , Santa Helena ","Santa Helena","Cachoeiro de Itapemirim","Supermercado",""
"Churrasquinho Samuel ","Samuel ","28999772520","Rua António dos Santos , 02 , Nossa Senhora Aparecida ","Nossa Senhora Aparecida","Cachoeiro de Itapemirim","Restaurante",""
"Mercearia do Matheus ","Matheus ","28999270781","Rua Nicomedio de Souza 64, Nossa Senhora da Aparecida ","Nossa Senhora Aparecida","Cachoeiro de Itapemirim","Mercearia",""
"Eduardo tirello( física)","Eduardo","28999392307","Zona runal ","Zona Rural","Cachoeiro de Itapemirim","Pessoa física",""
"Bar do Italiano ","Adverci ","28999616287","Avenida Doutor Ubaldo Caetano Goncalves,  485, Alto independência ","Alto Independencia","Cachoeiro de Itapemirim","Restaurante",""
